transaction_id,timestamp,amount,sender_account,beneficiary_account,is_fraud_ground_truth,is_fraud_label,fraud_pattern
TX0004366,2026-01-01 15:05:29.670184382,70.26,A005,A011,0,0,normal
TX0004324,2026-01-01 15:51:15.160864636,693.69,A011,A024,0,0,normal
TX0000237,2026-01-01 16:12:54.679545766,187.77,A013,A018,0,0,normal
TX0005399,2026-01-01 16:36:15.985486406,497.3,A017,A008,0,0,normal
TX0005547,2026-01-01 17:31:02.542171523,529.75,A027,A025,0,0,normal
TX0001487,2026-01-01 18:16:36.763977118,834.68,A024,A010,0,0,normal
TX0001935,2026-01-01 18:22:12.775945779,293.42,A024,A020,0,0,normal
TX0000523,2026-01-01 18:36:47.782854799,316.59,A005,A014,0,0,normal
TX0003076,2026-01-01 19:30:41.764008557,2242.17,A011,A013,0,0,normal
TX0005863,2026-01-01 19:42:24.383112985,4317.11,A012,A008,0,0,normal
TX0004286,2026-01-01 19:50:02.685024500,225.67,A007,A008,0,0,normal
TX0002264,2026-01-01 20:03:15.371768775,269.35,A018,A002,0,0,normal
TX0004687,2026-01-01 20:08:00.629595245,577.21,A022,A019,0,0,normal
TX0005775,2026-01-01 20:24:59.154720943,4292.7,A019,A022,0,0,normal
TX0005711,2026-01-01 20:42:36.748155551,291.46,A009,A025,0,0,normal
TX0000738,2026-01-01 21:52:45.717037846,808.54,A022,A013,0,0,normal
TX0005888,2026-01-01 23:17:18.056675194,810.45,A021,A006,0,0,normal
TX0002509,2026-01-01 23:21:46.254002640,1337.89,A030,A027,0,0,normal
TX0002959,2026-01-01 23:49:49.653287539,519.49,A009,A006,0,0,normal
TX0004811,2026-01-02 00:00:40.265694217,188.89,A027,A012,0,0,normal
TX0003245,2026-01-02 01:09:29.188932496,1541.47,A026,A023,0,0,normal
TX0000648,2026-01-02 01:30:27.457870852,271.28,A005,A021,0,0,normal
TX0000427,2026-01-02 02:01:55.274759971,9897.58,A030,A019,1,0,structuring
TX0001435,2026-01-02 02:27:02.284943769,394.03,A008,A010,0,0,normal
TX0001169,2026-01-02 02:28:28.879045650,466.71,A003,A016,0,0,normal
TX0004859,2026-01-02 02:41:26.040357870,9816.6,A021,A030,1,0,circular
TX0005013,2026-01-02 02:51:43.535672956,16173.69,A019,A021,1,0,circular
TX0003505,2026-01-02 03:37:29.304253478,137.05,A005,A015,0,0,normal
TX0002715,2026-01-02 04:00:35.698047463,9798.82,A030,A003,1,0,circular
TX0000704,2026-01-02 04:03:56.266278538,619.97,A008,A011,0,0,normal
TX0005235,2026-01-02 04:07:11.867495742,1166.25,A005,A014,0,0,normal
TX0003317,2026-01-02 04:27:42.304176538,2478.09,A003,A014,0,0,normal
TX0004039,2026-01-02 04:38:56.041152304,182.93,A030,A004,0,0,normal
TX0003736,2026-01-02 05:40:18.036050211,419.34,A021,A018,0,0,normal
TX0001636,2026-01-02 06:42:00.503759387,209.08,A017,A028,0,0,normal
TX0005049,2026-01-02 07:17:55.269008570,9798.68,A021,A030,1,0,circular
TX0004669,2026-01-02 07:30:01.792348708,403.17,A028,A022,0,0,normal
TX0002226,2026-01-02 08:15:49.663381791,112.05,A010,A017,0,0,normal
TX0001258,2026-01-02 08:48:38.238817163,816.05,A027,A026,0,0,normal
TX0004993,2026-01-02 08:51:49.627497286,288.56,A008,A023,0,0,normal
TX0004906,2026-01-02 08:56:26.915201225,662.82,A029,A007,0,0,normal
TX0003257,2026-01-02 09:17:54.647270193,2113.81,A008,A006,0,0,normal
TX0005247,2026-01-02 09:39:10.535305727,287.75,A007,A020,0,0,normal
TX0000837,2026-01-02 09:39:15.507949974,243.81,A020,A001,0,0,normal
TX0002626,2026-01-02 10:06:04.334819704,596.17,A003,A020,0,0,normal
TX0000338,2026-01-02 10:08:23.983296925,72.15,A023,A003,0,0,normal
TX0001059,2026-01-02 10:22:45.156520489,1301.42,A016,A020,0,0,normal
TX0004234,2026-01-02 10:42:42.559697238,484.99,A021,A008,0,0,normal
TX0002321,2026-01-02 10:58:53.565316180,2911.12,A006,A022,0,0,normal
TX0000554,2026-01-02 11:36:05.575353516,2527.22,A016,A021,0,0,normal
TX0005949,2026-01-02 11:36:35.430214888,165.05,A016,A025,0,0,normal
TX0000774,2026-01-02 11:37:16.013318947,118.73,A015,A002,0,0,normal
TX0005995,2026-01-02 11:55:02.075049626,114.0,A024,A002,0,0,normal
TX0003788,2026-01-02 11:55:23.279512219,211.89,A018,A009,0,0,normal
TX0003265,2026-01-02 12:12:27.301137885,1023.31,A016,A018,0,0,normal
TX0003784,2026-01-02 12:15:55.487409656,18934.03,A021,A003,1,1,structuring
TX0003487,2026-01-02 12:23:15.588065567,140.95,A014,A028,0,0,normal
TX0003872,2026-01-02 12:29:03.259422790,296.53,A011,A022,0,0,normal
TX0005330,2026-01-02 12:38:04.630946714,1639.65,A009,A028,0,0,normal
TX0005187,2026-01-02 13:21:37.652971739,749.45,A024,A027,0,0,normal
TX0004864,2026-01-02 13:23:34.044177251,160.39,A019,A007,0,0,normal
TX0001458,2026-01-02 13:38:17.192501634,13598.63,A003,A013,1,0,repeated_pair
TX0000149,2026-01-02 14:09:52.423386536,9776.78,A021,A030,1,1,circular
TX0000051,2026-01-02 14:31:38.814368273,1458.65,A020,A024,0,0,normal
TX0001415,2026-01-02 14:53:41.317419319,387.28,A004,A007,0,0,normal
TX0002295,2026-01-02 15:15:40.314945355,88.7,A015,A030,0,0,normal
TX0001880,2026-01-02 15:29:40.573077981,310.31,A011,A001,0,0,normal
TX0005091,2026-01-02 15:36:43.637013358,244.58,A010,A015,0,0,normal
TX0003052,2026-01-02 15:47:42.799152782,390.5,A024,A021,0,0,normal
TX0000422,2026-01-02 15:49:32.336719704,9771.28,A003,A013,1,0,repeated_pair
TX0004853,2026-01-02 16:04:42.793716294,590.94,A028,A007,0,0,normal
TX0001233,2026-01-02 16:30:04.543710720,490.2,A002,A005,0,0,normal
TX0000918,2026-01-02 17:55:02.206835330,427.7,A007,A001,0,0,normal
TX0003843,2026-01-02 18:17:55.533401927,140.53,A023,A030,0,0,normal
TX0001147,2026-01-02 18:35:34.488914369,403.94,A012,A006,0,0,normal
TX0000223,2026-01-02 18:41:43.859218325,162.17,A004,A022,0,0,normal
TX0003789,2026-01-02 19:01:15.332269632,737.51,A010,A024,0,0,normal
TX0000838,2026-01-02 19:30:43.390213108,742.31,A009,A016,0,0,normal
TX0002446,2026-01-02 20:06:39.515082520,878.24,A020,A022,0,0,normal
TX0001609,2026-01-02 21:27:17.193392196,1503.78,A018,A028,0,0,normal
TX0005400,2026-01-02 21:34:49.771677727,382.23,A023,A030,0,0,normal
TX0000415,2026-01-02 21:41:49.123671519,893.58,A026,A030,0,0,normal
TX0004188,2026-01-02 22:42:37.823179412,699.32,A024,A022,0,0,normal
TX0000417,2026-01-02 22:55:21.569831545,18065.66,A019,A021,1,0,repeated_pair
TX0000443,2026-01-02 23:09:20.879606439,589.07,A012,A007,0,0,normal
TX0005093,2026-01-02 23:39:24.102823867,381.11,A020,A003,0,0,normal
TX0003070,2026-01-02 23:44:41.457319133,834.88,A021,A018,0,0,normal
TX0002965,2026-01-03 00:12:34.319122206,9903.54,A030,A003,1,0,circular
TX0005239,2026-01-03 00:21:27.469035528,9794.81,A021,A030,1,1,structuring
TX0003016,2026-01-03 00:30:56.289287508,150.36,A008,A022,0,0,normal
TX0002416,2026-01-03 01:10:13.786165456,1709.92,A010,A023,0,0,normal
TX0000028,2026-01-03 01:15:22.878323057,131.14,A002,A019,0,0,normal
TX0005573,2026-01-03 01:27:20.752957915,2041.97,A015,A023,0,0,normal
TX0004575,2026-01-03 01:39:06.700417031,1077.58,A015,A016,0,0,normal
TX0003692,2026-01-03 01:43:42.949204015,415.05,A001,A007,0,0,normal
TX0000229,2026-01-03 02:10:17.657100812,306.39,A019,A014,0,0,normal
TX0003577,2026-01-03 02:27:47.473422486,307.82,A028,A013,0,0,normal
TX0001951,2026-01-03 03:04:08.865908021,1036.4,A009,A007,0,0,normal
TX0002973,2026-01-03 03:29:39.907624683,9717.08,A019,A021,1,0,circular
TX0003106,2026-01-03 04:08:38.544831322,317.18,A004,A009,0,0,normal
TX0002978,2026-01-03 04:30:30.314964767,636.12,A024,A019,0,0,normal
TX0002863,2026-01-03 04:35:10.868685257,712.56,A021,A006,0,0,normal
TX0004839,2026-01-03 04:46:04.765513370,512.45,A007,A023,0,0,normal
TX0003354,2026-01-03 04:51:14.103734674,185.86,A015,A023,0,0,normal
TX0001969,2026-01-03 05:17:55.974627031,37.89,A025,A020,0,0,normal
TX0000048,2026-01-03 05:41:47.380160038,612.93,A029,A028,0,0,normal
TX0001865,2026-01-03 06:19:51.846130149,451.37,A024,A006,0,0,normal
TX0001110,2026-01-03 07:08:55.540056752,452.43,A020,A022,0,0,normal
TX0002474,2026-01-03 07:27:10.783053208,398.78,A015,A011,0,0,normal
TX0005971,2026-01-03 07:44:01.073112320,445.01,A013,A019,0,0,normal
TX0001382,2026-01-03 07:45:52.921171400,380.82,A002,A019,0,0,normal
TX0002026,2026-01-03 07:51:46.016160319,172.15,A004,A018,0,0,normal
TX0001211,2026-01-03 08:00:02.323708954,490.61,A020,A030,0,0,normal
TX0001517,2026-01-03 08:16:23.843635042,361.64,A018,A013,0,0,normal
TX0000728,2026-01-03 08:35:42.714842795,275.14,A015,A009,0,0,normal
TX0000282,2026-01-03 09:18:36.205181997,1442.68,A028,A017,0,0,normal
TX0002287,2026-01-03 09:23:27.464230310,101.9,A006,A004,0,0,normal
TX0004869,2026-01-03 09:27:14.200779832,9653.91,A021,A030,1,1,circular
TX0002178,2026-01-03 09:36:41.442577321,9602.08,A013,A003,1,0,structuring
TX0004569,2026-01-03 09:47:28.876612058,1517.31,A021,A017,0,0,normal
TX0005597,2026-01-03 09:47:39.644425605,363.16,A003,A002,0,0,normal
TX0004057,2026-01-03 09:55:48.044170217,787.84,A022,A011,0,0,normal
TX0005584,2026-01-03 10:11:00.380684248,223.53,A026,A021,0,0,normal
TX0003581,2026-01-03 10:15:48.385945904,297.02,A024,A022,0,0,normal
TX0003391,2026-01-03 10:20:45.251311412,191.71,A011,A004,0,0,normal
TX0003989,2026-01-03 10:23:05.436361759,761.27,A022,A010,0,0,normal
TX0005382,2026-01-03 11:49:50.109204550,14431.16,A013,A019,1,0,circular
TX0005616,2026-01-03 12:22:33.216068899,262.76,A029,A024,0,0,normal
TX0001381,2026-01-03 12:37:52.384572918,2976.84,A014,A015,0,0,normal
TX0004046,2026-01-03 12:50:16.486735925,1087.66,A020,A027,0,0,normal
TX0003834,2026-01-03 13:04:14.819482209,958.74,A029,A011,0,0,normal
TX0004782,2026-01-03 13:08:47.154194607,422.85,A024,A012,0,0,normal
TX0003593,2026-01-03 13:09:09.030354239,600.05,A015,A027,0,0,normal
TX0003484,2026-01-03 13:10:21.606763550,808.22,A001,A003,0,0,normal
TX0000742,2026-01-03 13:13:21.131619424,269.62,A014,A008,0,0,normal
TX0003860,2026-01-03 13:22:09.759070675,240.13,A019,A020,0,0,normal
TX0002049,2026-01-03 14:33:20.163351246,508.93,A021,A027,0,0,normal
TX0004305,2026-01-03 15:00:44.774041032,404.13,A023,A011,0,0,normal
TX0003579,2026-01-03 15:10:51.392672794,391.03,A030,A021,0,0,normal
TX0004256,2026-01-03 15:11:40.236716749,1429.45,A010,A021,0,0,normal
TX0001996,2026-01-03 16:11:21.021342412,572.2,A002,A015,0,0,normal
TX0002395,2026-01-03 17:17:07.323948034,266.3,A019,A003,0,0,normal
TX0001297,2026-01-03 18:14:26.393869319,587.43,A018,A015,0,0,normal
TX0005324,2026-01-03 18:36:26.594024524,774.07,A011,A013,0,0,normal
TX0000376,2026-01-03 18:43:42.669899349,433.87,A025,A026,0,0,normal
TX0005150,2026-01-03 19:02:15.069087579,1488.8,A006,A024,0,0,normal
TX0003134,2026-01-03 19:02:52.628156850,477.53,A030,A020,0,0,normal
TX0005527,2026-01-03 19:04:41.614698857,708.25,A012,A018,0,0,normal
TX0001095,2026-01-03 19:17:47.553832378,253.71,A001,A010,0,0,normal
TX0003232,2026-01-03 20:03:15.967457842,147.61,A002,A021,0,0,normal
TX0003334,2026-01-03 20:10:53.689781097,72.75,A010,A026,0,0,normal
TX0003468,2026-01-03 20:28:27.162367774,9838.18,A003,A013,1,0,repeated_pair
TX0003526,2026-01-03 21:05:16.834846042,694.18,A029,A024,0,0,normal
TX0003214,2026-01-03 21:29:28.068536897,9757.11,A021,A030,1,0,circular
TX0000509,2026-01-03 22:23:58.806096341,184.67,A019,A028,0,0,normal
TX0005683,2026-01-03 22:47:59.083206290,134.12,A025,A009,0,0,normal
TX0000732,2026-01-03 22:59:38.971124392,87.78,A010,A012,0,0,normal
TX0000603,2026-01-03 23:08:30.417358437,1568.94,A006,A024,0,0,normal
TX0001342,2026-01-03 23:24:28.310379611,12957.62,A003,A013,1,0,structuring
TX0005988,2026-01-03 23:28:03.272765992,9911.08,A019,A021,1,0,circular
TX0002391,2026-01-04 00:05:33.496538953,188.73,A009,A005,0,0,normal
TX0004128,2026-01-04 00:08:41.599137236,504.3,A006,A002,0,0,normal
TX0001505,2026-01-04 00:08:57.519378334,1698.36,A006,A010,0,0,normal
TX0003477,2026-01-04 01:16:12.776646686,1397.06,A024,A025,0,0,normal
TX0003268,2026-01-04 01:31:48.856492771,9730.13,A019,A021,1,1,repeated_pair
TX0003185,2026-01-04 01:32:34.522019393,193.71,A029,A026,0,0,normal
TX0002928,2026-01-04 02:14:42.861742442,708.58,A014,A015,0,0,normal
TX0005243,2026-01-04 02:24:47.182077890,416.79,A024,A013,0,0,normal
TX0001029,2026-01-04 03:25:05.162297885,9709.69,A021,A030,1,1,circular
TX0002382,2026-01-04 04:12:48.344188045,206.09,A022,A015,0,0,normal
TX0002477,2026-01-04 04:24:39.049552038,390.15,A005,A025,0,0,normal
TX0001928,2026-01-04 04:35:27.025296222,9736.57,A019,A021,1,1,circular
TX0003428,2026-01-04 05:49:14.896496761,587.31,A001,A013,0,0,normal
TX0000107,2026-01-04 05:53:21.235280946,378.47,A019,A010,0,0,normal
TX0001970,2026-01-04 05:53:26.843479484,9905.6,A019,A021,1,0,repeated_pair
TX0004818,2026-01-04 05:55:39.615851111,606.78,A019,A027,0,0,normal
TX0002035,2026-01-04 06:10:10.119388014,680.98,A028,A018,0,0,normal
TX0001841,2026-01-04 06:55:52.103500510,1130.27,A017,A024,0,0,normal
TX0005053,2026-01-04 07:30:17.790541936,9981.82,A019,A021,1,1,repeated_pair
TX0001620,2026-01-04 07:35:57.542932233,407.54,A027,A007,0,0,normal
TX0002272,2026-01-04 09:02:00.145070280,9962.95,A003,A013,1,0,repeated_pair
TX0004285,2026-01-04 09:22:14.245483318,1325.17,A024,A012,0,0,normal
TX0001150,2026-01-04 09:47:26.885150848,392.49,A008,A012,0,0,normal
TX0004340,2026-01-04 10:16:17.170797316,3455.03,A018,A014,0,0,normal
TX0003721,2026-01-04 10:16:23.994922053,292.98,A014,A005,0,0,normal
TX0004032,2026-01-04 11:33:08.032343821,108.47,A014,A001,0,0,normal
TX0002635,2026-01-04 12:00:14.401994705,281.92,A027,A024,0,0,normal
TX0001740,2026-01-04 12:04:06.008475864,504.7,A023,A019,0,0,normal
TX0003113,2026-01-04 12:38:58.215979417,3359.74,A030,A008,0,0,normal
TX0000504,2026-01-04 13:22:15.619411613,118.63,A030,A019,0,0,normal
TX0000463,2026-01-04 13:27:00.140881923,14739.06,A021,A013,1,1,structuring
TX0005706,2026-01-04 13:37:31.994075425,453.5,A021,A028,0,0,normal
TX0001172,2026-01-04 14:28:03.059495814,661.72,A008,A005,0,0,normal
TX0004898,2026-01-04 14:43:13.366257286,192.23,A012,A022,0,0,normal
TX0002731,2026-01-04 14:54:06.864427943,177.13,A007,A015,0,0,normal
TX0004037,2026-01-04 15:57:28.232990815,246.03,A004,A013,0,0,normal
TX0003946,2026-01-04 16:01:04.910310744,403.98,A008,A011,0,0,normal
TX0001192,2026-01-04 16:12:17.564094870,271.77,A014,A012,0,0,normal
TX0000978,2026-01-04 16:16:44.999594550,322.52,A018,A011,0,0,normal
TX0000158,2026-01-04 16:43:50.988459396,61.05,A016,A023,0,0,normal
TX0004923,2026-01-04 17:30:09.291760965,859.23,A006,A002,0,0,normal
TX0005636,2026-01-04 18:32:04.954280782,1152.92,A026,A019,0,0,normal
TX0005591,2026-01-04 18:42:51.372790202,12540.62,A003,A013,1,1,circular
TX0002858,2026-01-04 18:44:30.039172718,3063.54,A007,A014,0,0,normal
TX0001303,2026-01-04 18:47:10.225744530,438.41,A010,A011,0,0,normal
TX0004356,2026-01-04 19:01:33.544233299,521.74,A027,A021,0,0,normal
TX0005965,2026-01-04 19:08:22.171802401,620.32,A004,A024,0,0,normal
TX0003371,2026-01-04 19:53:28.182149375,276.39,A029,A009,0,0,normal
TX0001766,2026-01-04 20:30:46.030122532,464.88,A025,A003,0,0,normal
TX0003618,2026-01-04 21:19:42.879710499,495.59,A015,A010,0,0,normal
TX0001902,2026-01-04 22:00:39.330629897,2016.65,A001,A016,0,0,normal
TX0004630,2026-01-04 22:15:26.152838322,1730.56,A010,A017,0,0,normal
TX0001441,2026-01-05 00:01:41.292311819,231.24,A020,A008,0,0,normal
TX0000524,2026-01-05 00:56:29.342695204,1267.18,A005,A006,0,0,normal
TX0001707,2026-01-05 01:48:57.865027341,841.49,A008,A007,0,0,normal
TX0001430,2026-01-05 02:07:49.503728890,643.37,A013,A018,0,0,normal
TX0003779,2026-01-05 02:28:17.783096751,328.33,A023,A002,0,0,normal
TX0004835,2026-01-05 02:28:44.786352893,352.79,A006,A014,0,0,normal
TX0003665,2026-01-05 03:09:32.927503508,1668.92,A019,A014,0,0,normal
TX0005642,2026-01-05 03:43:25.718577305,572.12,A024,A004,0,0,normal
TX0002249,2026-01-05 03:59:51.130161612,467.53,A021,A011,0,0,normal
TX0002279,2026-01-05 04:03:00.783557900,3385.12,A004,A015,0,0,normal
TX0002318,2026-01-05 05:27:37.079086982,9707.19,A030,A021,1,0,structuring
TX0003461,2026-01-05 05:27:52.712658422,190.21,A018,A030,0,0,normal
TX0003858,2026-01-05 05:30:11.088135717,138.46,A028,A026,0,0,normal
TX0002070,2026-01-05 05:53:49.304286975,462.6,A016,A002,0,0,normal
TX0000812,2026-01-05 06:20:59.754781413,324.7,A003,A009,0,0,normal
TX0000678,2026-01-05 06:32:33.868566244,248.15,A027,A004,0,0,normal
TX0005223,2026-01-05 07:16:52.883759727,78.07,A026,A021,0,0,normal
TX0002475,2026-01-05 08:18:37.383298781,1720.34,A022,A016,0,0,normal
TX0004466,2026-01-05 08:25:02.327952427,1294.06,A024,A015,0,0,normal
TX0001141,2026-01-05 08:44:53.823252229,17042.1,A003,A013,1,0,circular
TX0005698,2026-01-05 09:11:14.192954330,5238.66,A006,A016,0,0,normal
TX0000609,2026-01-05 09:34:14.881517032,460.68,A026,A007,0,0,normal
TX0003731,2026-01-05 09:37:31.631961906,397.0,A007,A009,0,0,normal
TX0001688,2026-01-05 09:41:48.367475261,9926.94,A019,A030,1,0,structuring
TX0000310,2026-01-05 10:05:38.748682668,410.07,A012,A002,0,0,normal
TX0002259,2026-01-05 10:11:51.077427423,424.57,A009,A026,0,0,normal
TX0003295,2026-01-05 10:27:26.355017177,218.39,A030,A016,0,0,normal
TX0001910,2026-01-05 10:27:41.466607623,638.54,A021,A011,0,0,normal
TX0000258,2026-01-05 10:49:54.200988281,175.16,A014,A001,0,0,normal
TX0002854,2026-01-05 10:51:18.002471189,580.05,A026,A023,0,0,normal
TX0002501,2026-01-05 11:16:57.879408509,15197.73,A019,A021,1,0,repeated_pair
TX0001160,2026-01-05 11:26:08.590953063,9727.87,A030,A013,1,0,structuring
TX0005515,2026-01-05 12:10:51.684592942,1259.73,A016,A008,0,0,normal
TX0002498,2026-01-05 13:05:21.893219690,792.23,A014,A021,0,0,normal
TX0000362,2026-01-05 13:09:27.797206860,1299.92,A007,A003,0,0,normal
TX0003638,2026-01-05 13:16:35.433021614,188.31,A013,A010,0,0,normal
TX0004185,2026-01-05 13:17:20.779254194,1174.44,A008,A012,0,0,normal
TX0003901,2026-01-05 13:44:24.409583534,847.82,A015,A006,0,0,normal
TX0003148,2026-01-05 13:56:03.749807080,648.18,A014,A009,0,0,normal
TX0001753,2026-01-05 14:04:01.778455494,883.72,A013,A022,0,0,normal
TX0003985,2026-01-05 14:07:52.681079132,228.67,A009,A010,0,0,normal
TX0005518,2026-01-05 14:39:25.616204455,20685.02,A019,A021,1,0,circular
TX0000094,2026-01-05 15:34:51.911046049,9836.31,A021,A030,1,1,circular
TX0005082,2026-01-05 15:48:19.829156687,372.26,A011,A026,0,0,normal
TX0004793,2026-01-05 15:51:00.806832419,9786.07,A019,A021,1,0,repeated_pair
TX0002745,2026-01-05 16:07:10.242567875,742.48,A013,A010,0,0,normal
TX0005549,2026-01-05 16:09:12.663345408,9665.38,A013,A003,1,0,structuring
TX0001827,2026-01-05 16:58:22.245109865,19305.28,A019,A021,1,0,repeated_pair
TX0004534,2026-01-05 17:25:28.847693267,4699.5,A028,A029,0,0,normal
TX0002919,2026-01-05 17:27:37.588340187,20357.26,A003,A013,1,0,repeated_pair
TX0005805,2026-01-05 17:51:41.853879486,131.39,A006,A030,0,0,normal
TX0003026,2026-01-05 18:03:39.267683740,302.04,A010,A030,0,0,normal
TX0003544,2026-01-05 18:14:19.616639405,261.07,A030,A025,0,0,normal
TX0004080,2026-01-05 18:41:05.068917362,2937.06,A028,A002,0,0,normal
TX0000808,2026-01-05 19:12:10.120582315,4644.62,A024,A009,0,0,normal
TX0003913,2026-01-05 19:21:36.440639535,371.73,A028,A024,0,0,normal
TX0002518,2026-01-05 19:49:05.292737169,340.53,A010,A030,0,0,normal
TX0002546,2026-01-05 20:27:49.856471273,20571.42,A003,A013,1,0,circular
TX0004284,2026-01-05 20:51:50.737298441,980.95,A012,A015,0,0,normal
TX0002598,2026-01-05 21:24:15.777886971,1712.48,A003,A019,0,0,normal
TX0000099,2026-01-05 21:43:14.394872000,193.16,A023,A019,0,0,normal
TX0002996,2026-01-05 22:04:48.949731244,380.24,A002,A015,0,0,normal
TX0005744,2026-01-05 23:04:06.699088167,746.24,A010,A018,0,0,normal
TX0003321,2026-01-05 23:11:02.864180777,271.45,A013,A005,0,0,normal
TX0000058,2026-01-05 23:39:14.646265877,17911.44,A019,A021,1,0,circular
TX0005022,2026-01-06 00:13:28.791187971,56.6,A030,A014,0,0,normal
TX0005656,2026-01-06 01:02:36.694917689,513.17,A030,A019,0,0,normal
TX0002251,2026-01-06 01:16:12.116156258,727.45,A023,A001,0,0,normal
TX0001989,2026-01-06 02:07:10.894753181,1747.61,A029,A025,0,0,normal
TX0003748,2026-01-06 03:02:04.291121041,395.93,A029,A015,0,0,normal
TX0004333,2026-01-06 03:05:23.763297766,303.01,A018,A017,0,0,normal
TX0000803,2026-01-06 03:44:52.789221748,89.29,A010,A021,0,0,normal
TX0004493,2026-01-06 04:23:41.482666305,590.35,A029,A021,0,0,normal
TX0000637,2026-01-06 04:25:05.710145858,952.06,A005,A009,0,0,normal
TX0000697,2026-01-06 04:36:58.157185567,1471.35,A011,A025,0,0,normal
